Entry Time (UTC),Entry Time (SAST),Exit Time (UTC),Exit Time (SAST),Duration,Direction,Size,EntryPrice,ExitPrice,PnL,Return %,Winner,Day,Month,Year
28/02/2025 15:00,28/02/2025 17:00,03/03/2025 13:00,03/03/2025 15:00,2d 22h 00m,LONG,2,20554.0,21034.25,943.86,2.3,Win,Friday,02/2025,2025
28/02/2025 15:00,28/02/2025 17:00,03/03/2025 20:00,03/03/2025 22:00,3d 05h 00m,LONG,1,20554.0,20316.75,-245.42,-1.19,Loss,Friday,02/2025,2025
04/03/2025 15:00,04/03/2025 17:00,04/03/2025 17:00,04/03/2025 19:00,2h 00m,SHORT,5,20075.25,20337.0,-1349.16,-1.34,Loss,Tuesday,03/2025,2025
05/03/2025 15:00,05/03/2025 17:00,05/03/2025 20:00,05/03/2025 22:00,5h 00m,LONG,2,20300.0,20602.0,587.64,1.45,Win,Wednesday,03/2025,2025
05/03/2025 15:00,05/03/2025 17:00,06/03/2025 13:00,06/03/2025 15:00,22h 00m,LONG,3,20300.0,20299.0,-27.36,-0.04,Loss,Wednesday,03/2025,2025
07/03/2025 15:00,07/03/2025 17:00,07/03/2025 18:00,07/03/2025 20:00,3h 00m,SHORT,5,19887.75,20169.25,-1447.56,-1.46,Loss,Friday,03/2025,2025
10/03/2025 15:00,10/03/2025 17:00,17/03/2025 19:00,17/03/2025 21:00,7d 04h 00m,LONG,2,19550.0,19826.0,536.25,1.37,Win,Monday,03/2025,2025
10/03/2025 15:00,10/03/2025 17:00,18/03/2025 13:00,18/03/2025 15:00,7d 22h 00m,LONG,3,19550.0,19454.25,-310.65,-0.53,Loss,Monday,03/2025,2025
18/03/2025 15:00,18/03/2025 17:00,19/03/2025 15:00,19/03/2025 17:00,1d 00h 00m,SHORT,5,19397.75,19715.0,-1625.36,-1.68,Loss,Tuesday,03/2025,2025
20/03/2025 15:00,20/03/2025 17:00,24/03/2025 13:00,24/03/2025 15:00,3d 22h 00m,LONG,2,19757.0,20229.25,928.51,2.35,Win,Thursday,03/2025,2025
20/03/2025 15:00,20/03/2025 17:00,25/03/2025 14:00,25/03/2025 16:00,4d 23h 00m,LONG,2,19757.0,20371.0,1211.95,3.07,Win,Thursday,03/2025,2025
20/03/2025 15:00,20/03/2025 17:00,25/03/2025 20:00,25/03/2025 22:00,5d 05h 00m,LONG,1,19757.0,20517.25,752.2,3.81,Win,Thursday,03/2025,2025
26/03/2025 15:00,26/03/2025 17:00,28/03/2025 13:00,28/03/2025 15:00,1d 22h 00m,SHORT,2,20170.25,19840.0,644.5,1.6,Win,Wednesday,03/2025,2025
26/03/2025 15:00,26/03/2025 17:00,28/03/2025 14:00,28/03/2025 16:00,1d 23h 00m,SHORT,2,20170.25,19575.75,1173.1,2.91,Win,Wednesday,03/2025,2025
26/03/2025 15:00,26/03/2025 17:00,31/03/2025 13:00,31/03/2025 15:00,4d 22h 00m,SHORT,1,20170.25,19089.25,1073.15,5.32,Win,Wednesday,03/2025,2025
31/03/2025 15:00,31/03/2025 17:00,01/04/2025 15:00,01/04/2025 17:00,1d 00h 00m,LONG,2,19113.75,19503.0,763.05,2.0,Win,Monday,03/2025,2025
31/03/2025 15:00,31/03/2025 17:00,02/04/2025 20:00,02/04/2025 22:00,2d 05h 00m,LONG,4,19113.75,19076.75,-178.55,-0.23,Loss,Monday,03/2025,2025
03/04/2025 15:00,03/04/2025 17:00,04/04/2025 13:00,04/04/2025 15:00,22h 00m,SHORT,2,18720.0,18005.75,1413.81,3.78,Win,Thursday,04/2025,2025
03/04/2025 15:00,03/04/2025 17:00,04/04/2025 14:00,04/04/2025 16:00,23h 00m,SHORT,2,18720.0,17656.0,2113.45,5.64,Win,Thursday,04/2025,2025
03/04/2025 15:00,03/04/2025 17:00,04/04/2025 16:00,04/04/2025 18:00,1d 01h 00m,SHORT,2,18720.0,17751.75,1921.91,5.13,Win,Thursday,04/2025,2025
08/04/2025 15:00,08/04/2025 17:00,08/04/2025 17:00,08/04/2025 19:00,2h 00m,SHORT,2,17952.5,17488.25,914.32,2.55,Win,Tuesday,04/2025,2025
08/04/2025 15:00,08/04/2025 17:00,08/04/2025 19:00,08/04/2025 21:00,4h 00m,SHORT,2,17952.5,16973.5,1944.03,5.41,Win,Tuesday,04/2025,2025
08/04/2025 15:00,08/04/2025 17:00,09/04/2025 17:00,09/04/2025 19:00,1d 02h 00m,SHORT,2,17952.5,18878.25,-1866.23,-5.2,Loss,Tuesday,04/2025,2025
10/04/2025 15:00,10/04/2025 17:00,11/04/2025 17:00,11/04/2025 19:00,1d 02h 00m,SHORT,6,18257.5,18822.5,-3434.5,-3.14,Loss,Thursday,04/2025,2025
14/04/2025 15:00,14/04/2025 17:00,16/04/2025 18:00,16/04/2025 20:00,2d 03h 00m,SHORT,2,18803.5,18209.5,1173.19,3.12,Win,Monday,04/2025,2025
14/04/2025 15:00,14/04/2025 17:00,21/04/2025 17:00,21/04/2025 19:00,7d 02h 00m,SHORT,2,18803.5,17703.0,2186.4,5.81,Win,Monday,04/2025,2025
14/04/2025 15:00,14/04/2025 17:00,23/04/2025 13:00,23/04/2025 15:00,8d 22h 00m,SHORT,2,18803.5,18889.0,-186.08,-0.49,Loss,Monday,04/2025,2025
23/04/2025 15:00,23/04/2025 17:00,24/04/2025 18:00,24/04/2025 20:00,1d 03h 00m,SHORT,6,18797.25,19293.25,-3021.71,-2.68,Loss,Wednesday,04/2025,2025
25/04/2025 15:00,25/04/2025 17:00,01/05/2025 13:00,01/05/2025 15:00,5d 22h 00m,LONG,2,19309.25,19860.0,1085.83,2.81,Win,Friday,04/2025,2025
25/04/2025 15:00,25/04/2025 17:00,12/05/2025 13:00,12/05/2025 15:00,16d 22h 00m,LONG,4,19309.25,20786.75,5877.92,7.61,Win,Friday,04/2025,2025
12/05/2025 15:00,12/05/2025 17:00,13/05/2025 15:00,13/05/2025 17:00,1d 00h 00m,LONG,2,20753.75,21230.75,937.21,2.26,Win,Monday,05/2025,2025
12/05/2025 15:00,12/05/2025 17:00,19/05/2025 17:00,19/05/2025 19:00,7d 02h 00m,LONG,2,20753.75,21493.5,1462.6,3.52,Win,Monday,05/2025,2025
12/05/2025 15:00,12/05/2025 17:00,03/06/2025 15:00,03/06/2025 17:00,22d 00h 00m,LONG,2,20753.75,21684.5,1844.52,4.44,Win,Monday,05/2025,2025
03/06/2025 15:00,03/06/2025 17:00,10/06/2025 20:00,10/06/2025 22:00,7d 05h 00m,LONG,2,21652.5,21936.0,549.56,1.27,Win,Tuesday,06/2025,2025
03/06/2025 15:00,03/06/2025 17:00,13/06/2025 13:00,13/06/2025 15:00,9d 22h 00m,LONG,4,21652.5,21626.0,-140.62,-0.16,Loss,Tuesday,06/2025,2025
13/06/2025 15:00,13/06/2025 17:00,23/06/2025 18:00,23/06/2025 20:00,10d 03h 00m,LONG,2,21735.5,22021.25,554.0,1.27,Win,Friday,06/2025,2025
13/06/2025 15:00,13/06/2025 17:00,24/06/2025 13:00,24/06/2025 15:00,10d 22h 00m,LONG,4,21735.5,22291.25,2187.78,2.52,Win,Friday,06/2025,2025
24/06/2025 15:00,24/06/2025 17:00,26/06/2025 16:00,26/06/2025 18:00,2d 01h 00m,LONG,2,22335.75,22596.75,504.03,1.13,Win,Tuesday,06/2025,2025
24/06/2025 15:00,24/06/2025 17:00,30/06/2025 16:00,30/06/2025 18:00,6d 01h 00m,LONG,2,22335.75,22832.25,974.93,2.18,Win,Tuesday,06/2025,2025
24/06/2025 15:00,24/06/2025 17:00,03/07/2025 13:30,03/07/2025 15:30,8d 22h 30m,LONG,1,22335.75,22997.5,652.68,2.92,Win,Tuesday,06/2025,2025
03/07/2025 15:30,03/07/2025 17:30,21/07/2025 14:00,21/07/2025 16:00,17d 22h 30m,LONG,2,23048.5,23380.0,644.43,1.4,Win,Thursday,07/2025,2025
03/07/2025 15:30,03/07/2025 17:30,29/07/2025 13:00,29/07/2025 15:00,25d 21h 30m,LONG,2,23048.5,23555.75,995.86,2.16,Win,Thursday,07/2025,2025
03/07/2025 15:30,03/07/2025 17:30,30/07/2025 20:00,30/07/2025 22:00,27d 04h 30m,LONG,1,23048.5,23661.75,603.91,2.62,Win,Thursday,07/2025,2025
31/07/2025 15:00,31/07/2025 17:00,31/07/2025 18:00,31/07/2025 20:00,3h 00m,SHORT,2,23483.25,23305.75,336.28,0.72,Win,Thursday,07/2025,2025
31/07/2025 15:00,31/07/2025 17:00,01/08/2025 13:00,01/08/2025 15:00,22h 00m,SHORT,3,23483.25,22883.0,1772.93,2.52,Win,Thursday,07/2025,2025
01/08/2025 15:00,01/08/2025 17:00,04/08/2025 13:00,04/08/2025 15:00,2d 22h 00m,LONG,2,22896.0,23070.5,330.61,0.72,Win,Friday,08/2025,2025
01/08/2025 15:00,01/08/2025 17:00,04/08/2025 14:00,04/08/2025 16:00,2d 23h 00m,LONG,2,22896.0,23194.0,577.56,1.26,Win,Friday,08/2025,2025
01/08/2025 15:00,01/08/2025 17:00,04/08/2025 16:00,04/08/2025 18:00,3d 01h 00m,LONG,2,22896.0,23270.5,730.53,1.6,Win,Friday,08/2025,2025
05/08/2025 15:00,05/08/2025 17:00,06/08/2025 15:00,06/08/2025 17:00,1d 00h 00m,SHORT,6,23113.5,23368.0,-1582.78,-1.14,Loss,Tuesday,08/2025,2025
06/08/2025 15:00,06/08/2025 17:00,07/08/2025 13:00,07/08/2025 15:00,22h 00m,LONG,2,23258.0,23570.0,605.27,1.3,Win,Wednesday,08/2025,2025
06/08/2025 15:00,06/08/2025 17:00,08/08/2025 14:00,08/08/2025 16:00,1d 23h 00m,LONG,2,23258.0,23626.25,717.75,1.54,Win,Wednesday,08/2025,2025
06/08/2025 15:00,06/08/2025 17:00,08/08/2025 19:00,08/08/2025 21:00,2d 04h 00m,LONG,2,23258.0,23713.75,892.71,1.92,Win,Wednesday,08/2025,2025
12/08/2025 15:00,12/08/2025 17:00,13/08/2025 13:00,13/08/2025 15:00,22h 00m,LONG,2,23773.0,24005.0,444.89,0.94,Win,Tuesday,08/2025,2025
12/08/2025 15:00,12/08/2025 17:00,15/08/2025 13:00,15/08/2025 15:00,2d 22h 00m,LONG,3,23773.0,23770.25,-36.78,-0.05,Loss,Tuesday,08/2025,2025
15/08/2025 15:00,15/08/2025 17:00,19/08/2025 14:00,19/08/2025 16:00,3d 23h 00m,SHORT,2,23734.5,23540.0,370.09,0.78,Win,Friday,08/2025,2025
15/08/2025 15:00,15/08/2025 17:00,20/08/2025 13:00,20/08/2025 15:00,4d 22h 00m,SHORT,2,23734.5,23146.0,1158.25,2.44,Win,Friday,08/2025,2025
15/08/2025 15:00,15/08/2025 17:00,20/08/2025 14:00,20/08/2025 16:00,4d 23h 00m,SHORT,2,23734.5,23057.0,1336.28,2.82,Win,Friday,08/2025,2025
21/08/2025 15:00,21/08/2025 17:00,22/08/2025 15:00,22/08/2025 17:00,1d 00h 00m,LONG,2,23191.25,23565.0,728.8,1.57,Win,Thursday,08/2025,2025
21/08/2025 15:00,21/08/2025 17:00,22/08/2025 18:00,22/08/2025 20:00,1d 03h 00m,LONG,2,23191.25,23582.25,763.29,1.65,Win,Thursday,08/2025,2025
21/08/2025 15:00,21/08/2025 17:00,27/08/2025 15:00,27/08/2025 17:00,6d 00h 00m,LONG,2,23191.25,23623.25,845.27,1.82,Win,Thursday,08/2025,2025
27/08/2025 15:00,27/08/2025 17:00,28/08/2025 18:00,28/08/2025 20:00,1d 03h 00m,LONG,2,23572.25,23761.5,359.57,0.76,Win,Wednesday,08/2025,2025
27/08/2025 15:00,27/08/2025 17:00,29/08/2025 13:00,29/08/2025 15:00,1d 22h 00m,LONG,4,23572.25,23507.25,-297.66,-0.32,Loss,Wednesday,08/2025,2025
02/09/2025 15:00,02/09/2025 17:00,02/09/2025 19:00,02/09/2025 21:00,4h 00m,SHORT,6,23027.0,23277.0,-1555.56,-1.13,Loss,Tuesday,09/2025,2025
03/09/2025 15:00,03/09/2025 17:00,04/09/2025 19:00,04/09/2025 21:00,1d 04h 00m,LONG,2,23400.25,23616.5,413.69,0.88,Win,Wednesday,09/2025,2025
03/09/2025 15:00,03/09/2025 17:00,05/09/2025 13:00,05/09/2025 15:00,1d 22h 00m,LONG,2,23400.25,23821.75,824.11,1.76,Win,Wednesday,09/2025,2025
03/09/2025 15:00,03/09/2025 17:00,09/09/2025 20:00,09/09/2025 22:00,6d 05h 00m,LONG,2,23400.25,23889.75,960.08,2.05,Win,Wednesday,09/2025,2025
11/09/2025 15:00,11/09/2025 17:00,15/09/2025 14:00,15/09/2025 16:00,3d 23h 00m,LONG,2,24000.5,24227.75,435.21,0.91,Win,Thursday,09/2025,2025
11/09/2025 15:00,11/09/2025 17:00,16/09/2025 19:00,16/09/2025 21:00,5d 04h 00m,LONG,4,24000.5,24524.25,2056.18,2.14,Win,Thursday,09/2025,2025
18/09/2025 15:00,18/09/2025 17:00,18/09/2025 16:00,18/09/2025 18:00,1h 00m,SHORT,6,24517.5,24787.75,-1680.67,-1.14,Loss,Thursday,09/2025,2025
19/09/2025 15:00,19/09/2025 17:00,22/09/2025 14:00,22/09/2025 16:00,2d 23h 00m,SHORT,6,24708.0,24926.75,-1372.06,-0.93,Loss,Friday,09/2025,2025
22/09/2025 15:00,22/09/2025 17:00,25/09/2025 13:00,25/09/2025 15:00,2d 22h 00m,LONG,5,24897.25,24452.75,-2271.85,-1.82,Loss,Monday,09/2025,2025
25/09/2025 15:00,25/09/2025 17:00,29/09/2025 13:00,29/09/2025 15:00,3d 22h 00m,LONG,2,24583.75,24846.5,505.73,1.03,Win,Thursday,09/2025,2025
25/09/2025 15:00,25/09/2025 17:00,01/10/2025 17:00,01/10/2025 19:00,6d 02h 00m,LONG,2,24583.75,24952.25,717.19,1.46,Win,Thursday,09/2025,2025
25/09/2025 15:00,25/09/2025 17:00,02/10/2025 13:00,02/10/2025 15:00,6d 22h 00m,LONG,1,24583.75,25062.75,469.07,1.91,Win,Thursday,09/2025,2025
02/10/2025 15:00,02/10/2025 17:00,06/10/2025 15:00,06/10/2025 17:00,4d 00h 00m,SHORT,5,24993.75,25208.0,-1121.45,-0.9,Loss,Thursday,10/2025,2025
06/10/2025 15:00,06/10/2025 17:00,08/10/2025 20:00,08/10/2025 22:00,2d 05h 00m,LONG,2,25143.0,25320.5,334.81,0.67,Win,Monday,10/2025,2025
06/10/2025 15:00,06/10/2025 17:00,10/10/2025 14:00,10/10/2025 16:00,3d 23h 00m,LONG,3,25143.0,25127.75,-75.91,-0.1,Loss,Monday,10/2025,2025
14/10/2025 15:00,14/10/2025 17:00,15/10/2025 14:00,15/10/2025 16:00,23h 00m,LONG,2,24684.25,25013.0,637.62,1.29,Win,Tuesday,10/2025,2025
14/10/2025 15:00,14/10/2025 17:00,15/10/2025 17:00,15/10/2025 19:00,1d 02h 00m,LONG,3,24684.25,24663.25,-92.61,-0.13,Loss,Tuesday,10/2025,2025
16/10/2025 15:00,16/10/2025 17:00,16/10/2025 18:00,16/10/2025 20:00,3h 00m,SHORT,2,24946.0,24643.5,585.16,1.17,Win,Thursday,10/2025,2025
16/10/2025 15:00,16/10/2025 17:00,17/10/2025 19:00,17/10/2025 21:00,1d 04h 00m,SHORT,3,24946.0,24979.25,-129.71,-0.17,Loss,Thursday,10/2025,2025
20/10/2025 15:00,20/10/2025 17:00,22/10/2025 17:00,22/10/2025 19:00,2d 02h 00m,LONG,5,25289.25,24874.0,-2126.41,-1.68,Loss,Monday,10/2025,2025
23/10/2025 15:00,23/10/2025 17:00,24/10/2025 13:00,24/10/2025 15:00,22h 00m,LONG,2,25119.75,25429.75,599.78,1.19,Win,Thursday,10/2025,2025
23/10/2025 15:00,23/10/2025 17:00,27/10/2025 13:00,27/10/2025 15:00,3d 22h 00m,LONG,3,25119.75,25848.75,2156.42,2.86,Win,Thursday,10/2025,2025
27/10/2025 15:00,27/10/2025 17:00,28/10/2025 18:00,28/10/2025 20:00,1d 03h 00m,LONG,2,25855.5,26147.25,562.7,1.09,Win,Monday,10/2025,2025
27/10/2025 15:00,27/10/2025 17:00,30/10/2025 20:00,30/10/2025 22:00,3d 05h 00m,LONG,3,25855.5,25853.0,-38.53,-0.05,Loss,Monday,10/2025,2025
03/11/2025 15:00,03/11/2025 17:00,04/11/2025 13:00,04/11/2025 15:00,22h 00m,SHORT,2,26015.5,25684.5,641.32,1.23,Win,Monday,11/2025,2025
03/11/2025 15:00,03/11/2025 17:00,05/11/2025 14:00,05/11/2025 16:00,1d 23h 00m,SHORT,2,26015.5,25488.0,1034.4,1.99,Win,Monday,11/2025,2025
03/11/2025 15:00,03/11/2025 17:00,06/11/2025 17:00,06/11/2025 19:00,3d 02h 00m,SHORT,1,26015.5,25337.25,667.98,2.57,Win,Monday,11/2025,2025
07/11/2025 15:00,07/11/2025 17:00,07/11/2025 19:00,07/11/2025 21:00,4h 00m,SHORT,6,24823.0,25114.5,-1808.92,-1.21,Loss,Friday,11/2025,2025
11/11/2025 15:00,11/11/2025 17:00,12/11/2025 13:00,12/11/2025 15:00,22h 00m,SHORT,5,25486.5,25800.5,-1621.29,-1.27,Loss,Tuesday,11/2025,2025
12/11/2025 15:00,12/11/2025 17:00,13/11/2025 15:00,13/11/2025 17:00,1d 00h 00m,SHORT,2,25528.5,25197.0,642.71,1.26,Win,Wednesday,11/2025,2025
12/11/2025 15:00,12/11/2025 17:00,14/11/2025 13:00,14/11/2025 15:00,1d 22h 00m,SHORT,3,25528.5,24716.75,2405.1,3.14,Win,Wednesday,11/2025,2025
14/11/2025 15:00,14/11/2025 17:00,14/11/2025 17:00,14/11/2025 19:00,2h 00m,LONG,2,24863.25,25160.25,573.99,1.15,Win,Friday,11/2025,2025
14/11/2025 15:00,14/11/2025 17:00,17/11/2025 19:00,17/11/2025 21:00,3d 04h 00m,LONG,4,24863.25,24754.25,-475.69,-0.48,Loss,Friday,11/2025,2025
18/11/2025 15:00,18/11/2025 17:00,18/11/2025 17:00,18/11/2025 19:00,2h 00m,SHORT,6,24430.0,24752.75,-1995.52,-1.36,Loss,Tuesday,11/2025,2025
19/11/2025 15:00,19/11/2025 17:00,20/11/2025 13:00,20/11/2025 15:00,22h 00m,LONG,2,24748.0,25120.75,725.55,1.47,Win,Wednesday,11/2025,2025
19/11/2025 15:00,19/11/2025 17:00,20/11/2025 16:00,20/11/2025 18:00,1d 01h 00m,LONG,4,24748.0,24512.0,-983.41,-0.99,Loss,Wednesday,11/2025,2025
21/11/2025 15:00,21/11/2025 17:00,21/11/2025 16:00,21/11/2025 18:00,1h 00m,SHORT,6,23927.25,24372.25,-2727.96,-1.9,Loss,Friday,11/2025,2025
24/11/2025 15:00,24/11/2025 17:00,25/11/2025 21:00,25/11/2025 23:00,1d 06h 00m,LONG,2,24664.0,25059.5,771.11,1.56,Win,Monday,11/2025,2025
24/11/2025 15:00,24/11/2025 17:00,28/11/2025 17:30,28/11/2025 19:30,4d 02h 30m,LONG,2,24664.0,25394.25,1440.48,2.92,Win,Monday,11/2025,2025
24/11/2025 15:00,24/11/2025 17:00,02/12/2025 14:00,02/12/2025 16:00,7d 23h 00m,LONG,1,24664.0,25597.75,923.7,3.75,Win,Monday,11/2025,2025
02/12/2025 15:00,02/12/2025 17:00,15/12/2025 17:00,15/12/2025 19:00,13d 02h 00m,LONG,5,25531.0,25131.25,-2049.41,-1.61,Loss,Tuesday,12/2025,2025
17/12/2025 15:00,17/12/2025 17:00,18/12/2025 13:00,18/12/2025 15:00,22h 00m,SHORT,5,24807.5,25223.0,-2127.53,-1.72,Loss,Wednesday,12/2025,2025
19/12/2025 15:00,19/12/2025 17:00,23/12/2025 17:00,23/12/2025 19:00,4d 02h 00m,LONG,2,25465.25,25750.75,550.51,1.08,Win,Friday,12/2025,2025
19/12/2025 15:00,19/12/2025 17:00,31/12/2025 20:00,31/12/2025 22:00,12d 05h 00m,LONG,3,25465.25,25444.5,-92.8,-0.12,Loss,Friday,12/2025,2025
02/01/2026 15:00,02/01/2026 17:00,05/01/2026 14:00,05/01/2026 16:00,2d 23h 00m,SHORT,5,25360.5,25599.75,-1247.21,-0.98,Loss,Friday,01/2026,2026
05/01/2026 15:00,05/01/2026 17:00,06/01/2026 20:00,06/01/2026 22:00,1d 05h 00m,LONG,2,25566.0,25802.0,451.45,0.88,Win,Monday,01/2026,2026
